epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1084.03,1.43562,3.17856,0.92554,0.97842,0.80584,0.97656,0.56442,1.35931,2.54137,0.87758,0.000660767,0.000660767,0.000660767
2,2138.6,1.15838,1.39224,0.85445,0.94817,0.8943,0.95972,0.578,1.37492,1.35186,0.88198,0.00130115,0.00130115,0.00130115
